
Pinging google.com [2404:6800:4002:811::200e] with 32 bytes of data:
Request timed out.
Reply from 2404:6800:4002:811::200e: time=84ms 
Reply from 2404:6800:4002:811::200e: time=97ms 
Request timed out.
Reply from 2404:6800:4002:811::200e: time=138ms 
Reply from 2404:6800:4002:811::200e: time=84ms 
Reply from 2404:6800:4002:811::200e: time=84ms 
Reply from 2404:6800:4002:811::200e: time=1118ms 
Reply from 2404:6800:4002:811::200e: time=200ms 
Reply from 2404:6800:4002:811::200e: time=90ms 
Reply from 2404:6800:4002:811::200e: time=74ms 
Reply from 2404:6800:4002:811::200e: time=135ms 
Reply from 2404:6800:4002:811::200e: time=140ms 
Reply from 2404:6800:4002:811::200e: time=521ms 
Reply from 2404:6800:4002:811::200e: time=106ms 
Reply from 2404:6800:4002:811::200e: time=91ms 
Request timed out.
Request timed out.
Reply from 2404:6800:4002:811::200e: time=588ms 
Reply from 2404:6800:4002:811::200e: time=91ms 
Request timed out.
Reply from 2404:6800:4002:811::200e: time=176ms 
Reply from 2404:6800:4002:811::200e: time=219ms 
Reply from 2404:6800:4002:811::200e: time=99ms 
Reply from 2404:6800:4002:811::200e: time=262ms 
Reply from 2404:6800:4002:811::200e: time=147ms 
Reply from 2404:6800:4002:811::200e: time=103ms 
Reply from 2404:6800:4002:811::200e: time=220ms 
Reply from 2404:6800:4002:811::200e: time=239ms 
Request timed out.
Reply from 2404:6800:4002:811::200e: time=217ms 
Reply from 2404:6800:4002:811::200e: time=85ms 
Reply from 2404:6800:4002:811::200e: time=131ms 
Reply from 2404:6800:4002:811::200e: time=276ms 
Reply from 2404:6800:4002:811::200e: time=76ms 
Reply from 2404:6800:4002:811::200e: time=91ms 
Reply from 2404:6800:4002:811::200e: time=91ms 
Reply from 2404:6800:4002:811::200e: time=176ms 
Reply from 2404:6800:4002:811::200e: time=93ms 
Reply from 2404:6800:4002:811::200e: time=90ms 
Reply from 2404:6800:4002:811::200e: time=125ms 
Reply from 2404:6800:4002:811::200e: time=131ms 
Reply from 2404:6800:4002:811::200e: time=72ms 
Reply from 2404:6800:4002:811::200e: time=91ms 
Reply from 2404:6800:4002:811::200e: time=302ms 
Request timed out.
Reply from 2404:6800:4002:811::200e: time=179ms 
Reply from 2404:6800:4002:811::200e: time=67ms 
PING: transmit failed. General failure. 
PING: transmit failed. General failure. 
PING: transmit failed. General failure. 
PING: transmit failed. General failure. 
PING: transmit failed. General failure. 
PING: transmit failed. General failure. 
PING: transmit failed. General failure. 
PING: transmit failed. General failure. 
PING: transmit failed. General failure. 
PING: transmit failed. General failure. 
PING: transmit failed. General failure. 
PING: transmit failed. General failure. 
PING: transmit failed. General failure. 
PING: transmit failed. General failure. 
PING: transmit failed. General failure. 

Ping statistics for 2404:6800:4002:811::200e:
    Packets: Sent = 439, Received = 387, Lost = 52 (11% loss),
Approximate round trip times in milli-seconds:
    Minimum = 62ms, Maximum = 3085ms, Average = 242ms
Control-C
